collection_id,loan_id,application_no,reason,reason desc
23552,2661,HEV-UP-73,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
23553,2661,HEV-UP-73,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
23565,2662,HEV-UP-74,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
23594,2664,HEV-UP-77,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
23632,2666,HEV-UP-80,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
23633,2666,HEV-UP-80,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
23870,95,HEV-UP-99,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
24169,203,HEV-UP-125,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
24170,203,HEV-UP-125,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
24171,203,HEV-UP-125,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
24172,203,HEV-UP-125,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
24208,190,HEV-UP-127,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
24277,255,HEV-UP-132,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
24385,244,HEV-UP-142,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
24396,410,HEV-UP-144,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
24516,2677,HEV-UP-156,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
24706,2680,HEV-UP-171,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
24707,2680,HEV-UP-171,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
24708,2680,HEV-UP-171,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
24888,245,HEV-UP-184,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
